_id,Ignition_Source,Estimated_Dollar_Loss,Total_Clear_Time,Alarm_Date,Latitude,Longitude
202615,electronic wiring,5000,50,43098,43.67024,-79.54106
202617,smoker's article,30000,74,43098,43.67333,-79.55266
202623,smoker's article,1000,107,42897,43.77516,-79.41438
202626,appliance,5000,114,43099,43.72689,-79.25599
202629,heater,60000,230,43100,43.70737,-79.50506
202695,smoker's article,2000,70,42758,43.66696,-79.44531
202702,electronic wiring,100,25,42959,43.65384,-79.52617
202703,appliance,5000,45,42960,43.70439,-79.29642
202787,smoker's article,3000,42,42768,43.76267,-79.19499
202798,smoker's article,500,26,42769,43.63446,-79.40061
202891,electronic wiring,500,21,42743,43.67634,-79.57041
202897,smoker's article,0,43,42860,43.64716,-79.36919
202928,appliance,1500,30,42798,43.63765,-79.52325
202942,smoker's article,25,17,42837,43.66793,-79.37905
202959,appliance,500,33,42959,43.72213,-79.54828
202961,appliance,750,25,42994,43.76224,-79.50052
202981,appliance,700,22,43020,43.6434,-79.40529
202990,appliance,2000,26,43014,43.6406,-79.42801
